item,itemLabel,startDate,endDate,psid
Q108611599,Osvaldo Jaldo,2021-09-20,,Q108611599-5d983c5d-4220-a540-bad4-6c09984150d1
Q30900246,Gaspar de Barahona,1702,1707,Q30900246-414f5a82-481a-3d56-e8a3-1972c1d92f13
Q6300262,Juan Manzur,2015-10-29,2021-09-20,Q6300262-afd7555a-4359-05dd-a632-ab9ca9f2001c
Q6309428,Julio Miranda,1999-10-29,2003-10-29,Q6309428-7efa4c0e-4b13-88ea-6113-cdfaed68f2a3
Q75853,Jorge Rafael Videla,1970-08-04,1970-09-03,Q75853-c7fb5d28-4664-e18d-f207-0aacf2e53713
